anno,month,type,value
2012,7,CESAR,37
2012,7,CHOCO,11
2012,7,CORDOBA,3
2012,7,CUNDINAMARCA,521
2012,7,GUAINIA,0
2012,7,GUAJIRA,50
2012,7,GUAVIARE,0
2012,7,HUILA,114
2012,7,MAGDALENA,102
2012,7,META,170
2012,7,NARINO,50
2012,7,NORTE DE SANTANDER,69
2012,7,PUTUMAYO,9
2012,7,QUINDIO,75
2012,7,RISARALDA,79
2012,7,SAN ANDRES,7
2012,7,SANTANDER,238
2012,7,SUCRE,97
2012,7,TOLIMA,129
2012,7,VALLE,319
2012,7,VAUPES,0
2012,7,VICHADA,2
